Title,Len,Content,Publishing Date
How to Save Money Without Giving Up Boxed Water,2089,"Cutting back on luxuries to save money can be challenging, especially when your boxed water is at stake. While bottled water is a wasteful indulgence, boxed water makes your carbon footprint smaller and makes you feel rich, which is really important to you. Here’s how you can still afford boxed water by cutting back on these other things you enjoy:   Cut Out Going Out for Coffee Spending $3.50 on a latte every day can really add up! Why not save that money you could be spending on your daily java habit and spend it on boxed water instead? Just march right out of your house where the faucets and reusable plastic water bottles live, and right past your local coffee shop. Instead, try making your own coffee at home and putting it in your empty boxed water containers. Win-win!   Budget According to Your Priorities What expenditures are the most important in your life? Is your car insurance really that much more important than drinking reverse osmosis water from a milk carton? As the saying goes, “Boxed water is better and I’ll just drive more carefully from now on!”   Pay Yourself First Set aside the money you need for your savings, bills and your monthly boxed water allotment. The leftover money is what you have for the rest of your budget for more frivolous things, like food and gas and healthcare. This way you won’t have to think about anything, except how long you can make your boxed water allotment last ‘til next Thursday.     Use Cash Credit cards make it easy to spend money without thinking, so switch to cash instead. This way, when you’re at Whole Foods, it’ll feel more real that you just spent $39 on a case of water that comes in a box. Drink up!   Try to Get Things for Free With a little research, there are lots of things you can actually get for free! Just like water, you can actually find some expensive items are literally on tap. Like water! Sounds crazy, but it can totally help you afford more boxed water!   Remember, if you can’t afford your actual water bill, you can always use all that boxed water you bought. It has fewer chemicals, anyway!","Jun 1, 2016"
"If Trump Becomes President, I’m Moving In With My Boyfriend",2397,"If Donald Trump is elected president this November, I will no longer feel safe in my own home. I will have no choice but to pack up and move to a place where the future is brighter—where I will be able to not just survive, but also thrive.   I will be forced to move all the way across town to my boyfriend’s place.   President Trump will implement policies that are reactionary and driven by fear. The violence that would inevitably stem from these policies would be nothing short of horrific. But if my boyfriend and I can spend all day lying around in the bed we share, it will be like the rest of the world doesn’t even exist. Good luck, America! I’m taking care of myself.   A Trump presidency will mean harsh immigration reform that will cost the federal government up to $600 billion. In the ten months we’ve been dating, my boyfriend and I have never discussed money— we just hang out a couple times a week and talk about television and have sex. Sure, we’ll have to figure out rent and bills if we move in together, but if we lose our jobs as a result of economic collapse, splitting one Netflix account will be easier on both of us. Hello, paradise!     As Commander-in-Chief, Trump will cut access to women’s healthcare and limit the choices we are able to make for our own bodies. You might think this will be a huge problem for me because my boyfriend’s apartment is a windowless basement unit with no chairs or room for a crib, but you’re wrong! If I decide to get an IUD while access to contraception is heavily regulated, I can get my boyfriend to help me insert it. Cohabitation is the most convenient option for DIY healthcare. Life hack much?   As 45th president, Donald Trump vows to build a wall along the Mexican border. No thank you! I’d much rather live with my boyfriend, which will break down barriers within our nation—specifically, the emotional ones between the two of us since we’ve never really talked about our future together. But I know he supports me! When I told him my plans to move in if Trump wins, he laughed and said, “I’m With Her,” while taking a bong rip. You see? He’s with me. The world’s too small for walls.   A Trump presidency could conceivably result in horrific civil war. But please, don’t bother trying to convince his supporters to change their vote. After all, I have a plan in a Trump-controlled America—and it’s a romantic dream come true!","Apr 5, 2016"
I’m Not Political (Because I Assume I Will Retain All of My Privileges Forever),2594,"Listen guys, I get it. You hate the orange guy with the crazy hair. You love the old guy with the crazy hair. You think Hillary is a woman but she sends too many emails. Wow, you’re soooo political. Good for you.   I just don’t like to get into that sort of thing. I’d rather abstain from all the petty name-calling and meme-swapping because I believe that life is about more than just politics. (Also, because I’m pretty sure that whatever happens will not affect my day-to-day life in any way because I’m not a member of a historically oppressed group.)     I guess politics has never appealed to me because I just don’t enjoy arguing (things I do enjoy: massages, sriracha, extreme privilege as the result of a class system rigged in my favor, NOT ARGUING). I don’t need to spend hours debating what led to the Iraq War—it feels like it went by super fast anyways (since no one in my social circle had to join the military to pay for college). It’s not important to me that I understand the best solution to economic inequality—my great-grandfather invented steel. While some people need to always be right, I would rather always be kind. Maybe if everyone were always kind, we wouldn’t even need politics (I don’t know what poverty is because my father invested in soybean futures).   Honestly, if more people were like me (low-key rich, able-bodied), we wouldn’t have to have these fights about things that don’t affect me and never will.   Another thing I don’t like about politics is how it divides people. I believe that we are all the same (almost all my friends went to the same college). So I think we should be able to find common ground when it comes to the major issues affecting our lives, whatever those may be. My best friend is actually a socially conservative libertarian and I have never once let that come between us because I have never asked her what that means and she always has weed.     If you’ve been on social media lately, you know that it can seem like politics is impossible to avoid. But imagine for a second what would happen if we replaced all the angry rants about healthcare and immigration with pictures of kittens and puppies. I, for one, would definitely feel better. I already have healthcare and don’t know why anyone would want to change countries—it sounds like it would be really difficult!   In conclusion, I know it’s fun sometimes to get all riled up and scream at the TV. But I’m pretty sure that, come November, whether we elect the guy from The Apprentice or the guy from Curb Your Enthusiasm, everything is going to be okay (at least for me).","Feb 11, 2016"
9 Hunky TV Doctors Who Aren’t in Your PPO Network,3019,"Half the fun of watching soapy medical dramas on TV is ogling the stubbly, lab coat-wearing heartthrobs that save fictional lives every day. The other half is pointing at the TV and saying, ‘That would never happen!” especially when it comes to doctors treating patients without first laying out an odious payment plan. After all, even though most of us wish we could have any of these beefcake doctors check our quickening pulses, the odds of them being in your preferred provider organization are slim to none. Here are our fave studly docs whom you could never afford to be healed by.   1. Dr. Doug Ross (George Clooney) – E.R. This heartthrob pediatrician is the only guy you’d take your kid to a first date with. Be prepared to foot his $2000 consultation fee, though, especially since we heard he’s leaving his practice to start a film career.   2. Dr. Derek Shepard (Patrick Dempsey) – Grey’s Anatomy Staring into McDreamy’s eyes before he puts you under for surgery sounds like a, well, dream, until you get the itemized invoice that betrays your bank account the way he betrayed Addison. Expect to be waiting for treatment for about as long as we’ve been waiting for this show to end.   Tell him what you don’t like about yourself, but only if it’s a non-cosmetic, involuntary medical procedure. Otherwise, you’ll have to find someone else to take you from an 8 to a 10.   4. Dr. Danny Castellano (Chris Messina) – The Mindy Project This no-nonsense OB-GYN doesn’t take pulling a person out of you lightly, nor does he take Anthem Blue Cross. Damn!   5. Dr. Jack Shepherd (Matthew Fox) – Lost The fact that he’s stuck on an island isn’t the only reason Jack can’t see you; his practice also doesn’t accept Cygna. Better pray that in the end, your flu was just one long dream.   6. Dr. John Dorian (Zach Braff) – Scrubs Keep daydreaming, because this adorable goofball is gonna boot your ass to the free clinic. You can’t do this aaaall on yoooooour own, but you might have to. Sorry!   7. Dr. Leonard “Bones” McCoy (DeForest Kelly) – Star Trek He’s a general practitioner, damn it, not a specialist. Find an ENT that takes HealthNet and get off of his ship. There’s no way you could afford space travel; you can barely afford your copays!   People assume that healthcare is a strict progression of injury to treatment, but actually, from a non-linear, out-of-network viewpoint, it’s more like a big ball of wibbly-wobbly virtually unpayable bills. (If you love the show and are scraping to get by, you’ll love that reference!)   9. Dr. Gregory House (Hugh Laurie) – House, M.D. Just when you thought House would finally send a gerbil into your uterus to try and save your baby, you were kicked to the curb. Oh well—perhaps you’ll be able to find a blue-eyed medical mastermind at the CVS minute clinic!   Who knows? Maybe someone just as good as one of these dreamboat docs will happen to be within your network. Until then, it’s the old “pray you don’t die because you didn’t get that MRI” routine. Good luck!","Jan 18, 2016"
10 Girls Who Code But Are Also Licensed Scuba Instructors,3875,"Sexism is rampant in the tech industry, but these badass ladies won’t let gender stereotypes keep them from diving into traditionally male careers—or the ocean! These women inspire us to go after our dreams whether they involve blazing new trails in Silicon Valley or just chillin’ at the bottom of the sea. Here’s a list of some of our favorite women who code and are also licensed scuba instructors.   Eleanor Smith, 37, San Francisco, CA Eleanor is a senior UX designer at one of the hottest start-ups in San Francisco, where she spearheads a mentoring program for young women in tech. But on weekends she lets her fun side show, teaching the mentees how to scuba dive for free because she is a licensed deep-sea diving instructor.   Diana Ng, 22, Palo Alto, CA Diana recently graduated at the top of her class at Stanford with a degree in Computer Science and is considering positions at tech companies such as Intel, Microsoft, and Google. But no matter where she ends up, Diana instructs scuba freelance in her downtime. “Yeah, I love scuba diving,” she tells us. Cool!   Samantha Tom, 23, Big Island, HI Tired of always having to choose between her two passions, coding and diving, Sam founded S(C++)UBA: the first underwater coding school. Talk about having it all!     Jacqueline Parsons, 27, Morehead City, NC Jacqueline was always told she was “too pretty” to be a web designer. But under the sea she’s accepted for who she is—because when everyone is wearing a wetsuit, it doesn’t matter how pretty you are. As she puts it, “We’re all the same when we’re surrounded by bubbles.” Wow!   Bernadette Song, 32, San Francisco, CA “I have to work twice as hard as my male colleagues to be taken seriously,” Bernadette says of her role as a backend engineer. “It’s definitely a sexist workplace environment. But you know what isn’t sexist? The ocean. And so I dive.”   Cameron Astarita, 53, Los Angeles, CA Each time she emerges from a dive, software programmer Cameron cries tears of joy into her mask because the dramatic change in pressure “feels like breaking through the glass ceiling.” She is a CEO somewhere. Way to code, scuba girl!   Christine Dunn, 28, Galveston, TX Christine has actually found the tech community to be much more progressive than the scuba community, which she describes as a boy’s club: “Yeah, my company is super willing to give me all the support I need to pursue a career in software development without compromising my personal goals like starting a family. But those Neanderthals over at the scuba school who think a woman’s place is on land? They can eat my wake.” Go get ’em , Christine!     Francesca “Frankie” Papa, 42, Hollywood, FL Frankie is known as a live wire, but unlike actual live wires, she’s great at being in the water! As she hurriedly told us via Skype, “I fucking love diving. I love it so much. I wish I could fuck the ocean. If I could fuck the deep sea I would just wrap my vagina around the whole ocean and fuck it, let it fill me up with salt.” Wow! She also designs government healthcare websites.   Meghan Duyssen, 38, San Jose, CA Meg is actually no longer a licensed scuba instructor following a gruesome but accidental drowning incident during one of her classes, but she still knows Java really well. “I love building websites for my friends,” says Duyssen. ‘That’s all I’m allowed to do these days.”   Brit Charleston, 4, U.S. Virgin Islands Brit is a freelance web designer and a flounder. She has an Open Water/Adventure Diver certification and is a fish.   If they taught coding classes we would sign up right now, but unfortunately these kickass ladies only teaching diving. If you would like to learn how to scuba dive, feel free to reach out to them, but please do not contact them for instructions in coding. They know how to code, but they do not like to teach it. They like to teach scuba. Women!","Dec 2, 2015"
"I’m Ready to Take Down The Patriarchy, As Soon As I Figure Out Who Stole My Fucking Hair Tie",3073,"Women—it’s time to come together to make a change. We are here, alive in the year 2015, and we still live in a society controlled by the straight white male. Not only is the patriarchy thriving—it’s tightening its grip over us. I cannot stand for this any longer. We must fight. The downfall of the oppressive state is necessary for the liberation of all women. I have committed my life to taking down this obscene patriarchy, as soon as I find my fucking hair tie because I swear to God I just had it and my hair is making me nuts right now.   The most visible instance of female subjugation comes from the media’s portrayal of an unrealistic standard of beauty for women. Why should they get to decide what’s beautiful? We should all be able to feel comfortable in our own skin—body positivity is the first step to destroying the patriarchy. The minute I find my hair tie, I’m going to pull together a quick ponytail and get to work.   Not that there’s anything wrong with having a wild and unrestrained mane, but it’s just easier to obliterate male hegemony when my hair is contained in one area and out of my face. This is why the “Find My Fucking Hair Tie ASAP Before More Hair Gets In My Mouth” initiative is so imperative.   And let’s not even get started on the wage gap. What gives men the right to make more money than women? The 33 fewer cents I’m getting paid is hitting my hair tie budget hard, so I should really focus on getting this one back. Seriously, where did it even go? I know I gave one to Lisa a couple of nights ago when she was puking her guts into my toilet, but I definitely recall having an extra. I always have an extra, except for right now. What the eff?     The opposition against Planned Parenthood is disgusting. We need to support the right for women to have access to healthcare, especially in low-income communities. We are in control of our own bodies—we reserve the right to take birth control or get an abortion, and no one can take that away. As a woman, I have the right to an abortion, along with a complimentary hair tie in the case that I lose my original hair tie. Does Planned Parenthood have hair ties? No? That’s a real fucking oversight on everyone’s part. The war between the patriarchy and I will remain at a stalemate until this pressing issue is resolved. My neck is legit injured from tossing my hair out of my face right now. I deserve better!   In this fight, we cannot forget women of color, who are hurt even more by the patriarchal standards of society. In addition to being denied the basic rights given to men, we women of color have to push against racial and socioeconomic inequality while also having different hair than white people, which can affect what sort of hair ties we want, which makes it even freaking worse when we lose them, especially when they were right here a minute ago. Holy shitting hell where is that thing?   I am going to shave my head at this point because I really cannot live sans-hair tie for much longer. Also, straight white men can suck it. Also, has anybody seen my Chapstick?","Dec 1, 2015"
Fun Weekend Getaways to Fill the 48-Hour Abortion Waiting Period,3516,"Many people view the mandatory, pre-abortion 48-hour waiting period as a pointless inconvenience at best and a thinly disguised attempt by your state government to legislate religious practices that restrict women’s bodily autonomy at worst. Either way, that’s super negative of them! Instead, look at this 48-hour period as a chance to get away from it all for some much-needed me-time! Here are some great weekend getaways that will take your mind off of being in reproductive purgatory so you can focus on having some pre-abortion fun in the sun!   1. Go on a relaxing meditation retreat. Before you terminate your pregnancy, go terminate your negative spiritual energy at a relaxing meditation retreat! The government may have ever-increasing control over your womb, but only you control your consciousness. After a weekend of cross-legged bliss, you’ll realize that you are your own greatest obstacle to inner peace. Well, besides your state legislature, and your lousy health insurance, and the mob of pro-life demonstrators gearing up to scream, “Baby Killer!” at you on Monday. But mostly, just you. Om, baby, om!   2. Buy a two-day pass to Disney World. This beloved, lethally overcrowded amusement park is the perfect place to contemplate the staggering population growth expected to overtake our planet in the coming generations while watching beautiful, virginal princesses sing about longing. As you get lost in the throngs of unhappy parents and their crying children, you may start to wonder why your state legislature has such an invasively vested interest in seeing you add to the crowd. That’s probably just your hysterical womb talking, though. Go and give that man in a Mickey Mouse costume a hug like a normal American.   3. Take a quaint excursion to Colonial Williamsburg. Wile away those agonizing 48 hours in the quaint world of Colonial Williamsburg. You’ll find yourself instantly transported to a time when men were men, and women hand-churned butter throughout each of their nine pregnancies. Suddenly, all the encroaching state restrictions on your womb won’t feel quite so repressive. Ah, womanhood: a historical journey from very sucky to less sucky, with a few state-imposed detours along the way!     4. Hit up a nude beach resort. Your body may be a battleground in our country’s cultural wars, but that shouldn’t stop you from indulging in the sheer, naturalistic freedom of a nude beach resort! Soak up some rays and watch your tan lines fade away—just in time to for that legally mandated vaginal ultrasound! You Sun Goddess, you! Need a steamy beach read? Why not try your state’s sprawling informed consent packet?   5. Go hunting and wonder why the Jesus freaks don’t have a problem with people killing inedible animals purely for sadistic pride. Spend the weekend in a wilderness hunting retreat, killing some innocent, preferably inedible creatures for the sheer brutal thrill of it. As you surround yourself with mindless slaughter, you may begin to wonder why America treats a three-week-old fetus as more alive than, say, the majestic mother doe you’ve just felled. Bond with one of your fellow hunters by jokingly pointing out that if guys could get pregnant, abortion would be even easier to access than any of his five personal guns—without a background check!   Remember, your abortion waiting period is what you make of it. So don’t let the fact that a bunch of elderly men get to make all the rules about your reproductive healthcare get in the way of a good time!","Jul 3, 2015"
"Actually, I’m an Intersectional Men’s Rights Activist",2676,"Identity politics are complicated. It can be easy for us to blithely ignore issues of race, class, ability, gender identity, and immigration status. I’m not afraid to say that I think beyond the basic tenets of Men’s Rights Activism that ignore the many complicated facets of privilege. That’s why I’m an intersectional MRA.   For me, the MRA movement lives or dies on whether or not it includes misogynists of all stripes. I’m vocal about the perils of men of every race, class, and gender (as long as that gender is “dude”). If we are going to succeed in toppling our boob-laden oppressors, it’s going to take all of our fedoras united as one. It’s not about straight white MRAs being nice to MRAOCs. We must work to undo the lies we’ve been told about nonconforming woman-haters in order to beat every level of this game.   No experience of oppression can be fully understood until we consider the consequences of race, class, and just one gender (a “cool-ass dude”). There’s room in this movement for all of us. It doesn’t matter if you’re straight, queer, or anything in between; you have just as much right to fight against those conniving women who are constantly trying to accuse you of rape just because you like them.     We all know that men have shorter lifespans than women because their wombs give preferential treatment to girl babies. However, unlike other MRAs, I acknowledge that different men have different lifespans based on a number of factors, such as access to healthcare, past jail time, and dick size. We cannot allow de facto exclusion to keep us from telling women what they should do.   No; I don’t believe you should ascribe to the gender binary. As long as you’re a man.   No matter what your skin color or ethnic heritage, you have just as much right to talk about how attractive women oppress you.   It doesn’t matter if you are differently abled; you have the right to tell women to shut up on Twitter. Because you are a man, and that’s your right.   Now let’s talk about privilege. Female privilege is real and it affects men of all races, classes, and gender (“cool-ass dude who loves Buffalo Wild Wings”). Women get to sit on the bus when they’re pregnant. They get to keep and raise their kids all by themselves with no spousal support. They get to choose between career and family life. They get to pursue men their whole lives. Haven’t they had it too good for too long?   Let me put it this way: There’s no Susan G. Komen Race for Men’s Ass Cancer. If we want our sons to be raised in a world free of men’s ass cancer, it’s going to take all colors, shapes, and sizes of dude-bro.   Also, patriarchy is just like periods: a total myth.","Mar 2, 2015"
"Practical Stocking Stuffers That Say, ‘This Relationship Has Peaked’",2659,"Does your relationship still have that “spark,” or are you just two dimly lit energy-saving spiral bulbs moving through space? The only way to know for sure is through the critical analysis of your stocking stuffers. Here are some super-practical little gifts that say, “I’m just in this until the holidays are over.”   Socks  Everyone knows that for any Christmas as an adult, socks are always the best gifts. From your mom or your little brother, socks say, “I know you need these.” From a significant other, though? They say, “I don’t even know who you are anymore.” There are ways this can be avoided – If the socks are of the lacy thigh-high, your relationship still has a chance. If you’re giving or receiving a pack of white ankle-length footwear staples, though—the sexy ship has sailed. Give up before you reach the slipper phase and can’t remember what sex feels like.    Floss What used to be a cute reminder that you’re looking out for dental hygiene is now a “I’m tired of kissing a bacteria-infested cavern of nicotine residue and popcorn kernels.” If your man’s mouth looks like the bloody battle of Antietam after the dentist, this stocking stuffer is a surefire way to send the message that your relationship is more of a codependent healthcare routine at this point.   A Discounted Paperback How To Win Friends and Influence People or How to Bow Out of This Relationship Before We Morph Into Blood Relatives? An almost best-selling memoir you picked up at Wal-Mart lets your loved one know their life needs major improvement and you’d rather they fix it through some generic advice and not your waning support.   Dandruff Shampoo Sure, you can try to pass it off as that you just want him to be able to wear black shirts again but everyone will know that those snowflakes you drew on his face on the card aren’t as subtle as you intended.     Clinical-Strength Deodorant  ‘Tis the season for all things spiced—including some sexy prescription-strength deodorant. Replenishing your partner’s supply is one thing, but acknowledging his undiagnosed perspiration disorder? Shit’s peaked. If you find a 48-hour lasting clinical strength overnight deodorant in your stocking, you’re lucky if your relationship lasts as long as that suspiciously powerful stick of antiperspirant.   Breathe-right Strips Breathe-right Strips are the passive aggressor’s method of shouting: “I’m this close to sleeping in separate rooms.” Quit while you still have your hearing.   If you find yourself getting these gifts, you might want to ask yourself, “Do I actually have a future with this man?” Get sweet stuff or this relationship can get stuffed, right ladies?","Dec 4, 2014"
Defend Your Reproductive Rights Without Seeming Too Pushy,2905,"It’s time to face the ugly truth: You have a uterus. And due to the results of the recent midterm election, the fetus that could occupy that uterus may currently have more rights than you do. But never fear! There is a way for you to defend your reproductive rights without coming off as just another pushy chick overwhelmed by hormones. Here’s how:   Suggest, but don’t demand. Feel free to ask for what you want, but don’t claim that you “deserve” anything. At the end of the day, your elected officials know best. If they don’t, then why did you elect them? Oh, you didn’t vote? Welp.   Don’t use gross words like “vagina” or “fetus.” Scientific terms have no place in politics or anywhere. Words like “vagina” or “uterus” or “my body” can be a real turn-off for policy makers. Try substituting with “the down-below fun hole,” “potential baby nest,” and “the vessel I inhabit, which I’d like to make decisions for, you know, if it’s not too much to ask.” When discussing the rights of a “fetus,” avoid both the pro-choice term “collection of cells” and the pro-right term “unborn baby,” and instead try the more politically correct “baby cells.”     Know how to “play the game.” Sometimes your lawmakers like to play hard to get! They’re not going to give up all your rights at once just because you buy them dinner; you have to seduce them over time, with wine, chocolates, and campaign donations. But it doesn’t all have to seem like business; you can make it fun, too! Try spicing it up with the “you show me yours, I’ll show you mine game,” where “yours” is affordable birth control, and “mine” is “my ‘well it’s about damn time’ face.”   Don’t ask for too much at once. The easiest way to come off as pushy is to demand all of your rights at the same time. Try starting slow, with access to affordable birth control before also asking for medical care and the right to decide what to do with the contents of your own uterus. And remember: you win some, you lose some! For every five rights you gain, expect three rights you already had to be taken away. It’s all part of the fun!   When you say “no,” don’t really mean it. When you say, “No, I don’t want you to make my healthcare decisions for me,” expect your lawmakers to hear, “Come on in, boys, the legs are open!” After all, sometimes “no” does mean “yes,” if you know how to spot it. And some congressmen sure do know how to spot it! Politicians know that compromise is important, so if you say “no,” and they hear “yes,” settling on a solid, “maybe you should just trust us to make decisions for you” is a way for both sides to win!   Follow these tips, and you’re sure to maybe possibly get some of your reproductive rights back for a little bit. The mostly important thing is that you seem cool, calm, and collected no matter what. Because remember: the only time your vagina should seem pushy is when it is literally pushing out a baby.","Nov 20, 2014"
The Six Best Colleges for Not Getting Raped,3953,"A recent U.S. News & World Report survey of female high school seniors shows a spike in demand for safer college campuses with a low risk of sexual assault. “The results are clear,” says guidance counselor Mallory Elmore. “The trend we’re seeing for 2015 is a high demand for not being raped.”   Over 90% of survey participants indicated that their first-choice college must have strong extracurricular options, a good teacher-to-student ratio, and not-rape. In fact, when polled about whether they prefer “rape” or “not rape,” most prospective college students strongly favored “not rape.” So, we’ve compiled our own list of schools for rising seniors of the six best colleges for not getting raped:   6. Geusen College – Hologram Campus If you’re looking for a small women’s liberal arts college, you won’t find this one, because it is hidden by a series of state-of-the-art holograms, specifically designed to confuse and disorient the male brain. Located in an undisclosed location in the Northern Hemisphere, this isolated 40-acre campus is rumored to be extremely beautiful. We say, “rumored” because their website redirects to a splash page with a photo of a dove clutching a gun. Classes start every eight weeks.   5. Miss Price School for Girls Although it is technically a finishing school for little girls, the Miss Price School for Girls is a great choice for any grad who would prefer not to be raped at school. They offer degree programs in Silverware Placement, Playing Nice, and Curtsying. Campus security (a butler named Teddysworth) reports the school has had only one sexual assault on campus, and that “Bumbly Bear has not been asked back after he reportedly touched Dolly’s no-no.” Rolling admissions are available through August 1st.   4. Shrimms College of Queens, NY Run by three middle-aged women who “don’t take no sh*t from nobody,” Shrimms has a no-rape feel while the big, rape-y city is just minutes away. Choose from over seven majors, including Yelling, Purse Item Weaponry, and Overzealous Police Officer Management. If you’ve ever taken a women’s self defense class at a dojo in Queens, you may be able to transfer credits. Four years here will have you well prepared for the statistically rare occurrence of stranger rape. Apply online.     3. Shira Uni-her-sity Though not a traditional university, Shira Uni-her-sity’s four-week chakra workshop can be transferred to almost any college that acknowledges Mother Gaia. The atypical campus is a lovely living room of two culturally Jewish sextagenarian lesbians named Hannah. You can major in Sometimes Vegan or Half-Assed Crafting, with minors in All-Caps Emails and Litter Scooping. Requires SAT, ACT, or a beautiful Warrior 2.   2. Duggar University While not an accredited university, the frustratingly nice stars of TLC’s “19 Kids and Counting” are experienced homeschoolers who have probably never raped anyone. You’ll save money on books, since there’s only one Good Book on your materials list. Ride the complimentary school bus to campus, where you can enroll in courses like Barrel Curls 101, Intro to Raising Younger Siblings, and Courting. Duggar University boasts a competitive 19:1 teacher to student ratio. With the friendly communal spirit (and ubiquitous TV cameras), there’s nearly no chance of getting assaulted. Open admissions until show is cancelled.   1. DeVry University What better way to prevent rape than to never leave your house? Online universities like DeVry offer students the luxury of choosing class times that work around your “clutching-hammer-while-peeking-through-blinds” schedule. The full report of all violent crimes at DeVry boasts an impressive “N/A” for sexual assault. You can get your associate degree in accounting, bachelor’s in healthcare management, or even your master’s in education, all while isolating yourself from a world that tacitly cheers on the wholesale objectification of half its inhabitants. Apply online.","Jul 7, 2014"
Apple Releases the iPhone 36b for Breast Cancer Awareness Month,1908,"Just in time for Breast Cancer Awareness Month, Apple announced its plans to release the iPhone 36b this week. “The 36b embodies the same elegance as the 5c, but with added functionality to keep you extremely aware of breast cancer,” Tim Cook said. With a playful nod to September’s 5c announcement, he chuckled, “It’s beautifully, unapologetically pink.”
 
While the 5c is already available in pink, the 36b’s sleek exterior will come in Breast Cancer Pink, complimented by matching wallpaper, allowing for users to experience a “seamless awareness of breast cancer, even when the phone is off.” Apple is also manufacturing covers in Breast Cancer Magenta to mimic the shadowed sides of the cause’s emblematic ribbon.
 
With a built-in “Pinkscale” filter, the 36b automatically converts your photos from full color into different shades of pink. It also boasts Lapel Identification, which automatically identifies subjects’ chest areas and places a breast cancer ribbon on each. Small touches like this give this phone an unparalleled awareness of breast cancer.
 
In addition to the free built-in apps like Passbook and Stocks, the 36c will feature two new exclusive apps:
 
iMamm
Utilizing the latest in digital healthcare, iMamm allows users to give each other mammograms by squishing their breasts between two iPhones. “Users finally have the ability to perform mammograms on the go. How cool is that?” said Cook. The reliability of this feature has yet to be proven and is currently being marketed “for entertainment purposes only.”
 
Breasts!
This app allows women to share pictures of their breasts, pre and post-op, through a secure network of verifiably female cancer survivors.
 
In typical Apple fashion, the announcement left the audience with a lingering question: are any proceeds actually going to a charity? As it turns out, rates vary by carrier as they are based on individual phone plans.","Oct 3, 2013"
Nancy Pelosi Slams Female Democrats in Leaked Email,126," 
An anonymous tipster forwarded us this email, which was originally sent to female members of the House of Representatives:
 ","Jun 10, 2013"
