Title,Publishing Date,Len,Content
America's Cowboys Suffering From Restless Heart Syndrome,11/03/06,3587,"ATLANTA, GA—Officials from the Centers For Disease Control said Monday that preliminary results from a long-term study showed that the vast majority of America's cowboys suffer from Restless Heart Syndrome, a disorder categorized by deep pangs of yearning, usually following extended, alternating bouts of lethargy and wanderlust. ""It's likely that most victims don't even know they have it,"" said research coordinator Grant Richardson, who estimates that 90 percent of cowboys are carriers of the malady. ""Then one day they're staring into a glass of whiskey while the bartender sweeps the cigarette butts off the floor, and they get to wondering about what there is to find in the next town West of wherever they happen to be. After that, something changes inside them."" Researchers isolated a hormone in nearly all of the 500 cowboys studied that triggers a subconscious longing for the feel of a saddle and the sight of windswept plains as far as a body can see. ""Next thing they know, they're tipping their hat down low, pulling up their boots, and heading off in the direction of them twinklin' stars,"" Richardson said. RHS seems to strike most often in younger ranch hands who have been restricted to the same patch of land for six months or more without being able to take long rides in God's country, where the coyotes prowl the sagebrush. Some cowboys also experience severe symptoms after taking just one whiff of old paint. Nor does the disorder appear to be a new phenomenon. After studying hundreds of tattered letters and mournful ballads, researchers determined that RHS has been afflicting cowboys since the mid-1800s, when the West was still wild and a tumbleweed could still be blown across the plains from St. Louis to Frisco without hittin' a fence. A significant number of cases appear to be triggered by an undersupply of love from a good woman. If detected early, however, RHS can be treated. ""If any cowboys find themselves experiencing unfamiliar emotions for which there just ain't no words, or an impulse to gaze up and wonder if she's watching the same sun set over Texas—home to more than 95 percent of cowboys' exes—I would urge them to swallow their pride, and come on in to see doc immediately."" Cowboy Sam Parker said he has been suffering the effects of RHS for ""purt' near as long as [he] can recollect."" ""Once I've been off the trail for a piece, my heart gets a wanderin' to thoughts of my darlin', sweet Annabelle—who couldn't marry me on account of her pa not approvin',"" Parker said, subconsciously clutching his 10-gallon hat. ""A man can only stand so much before he gets a hankerin' to set off with no one but his thoughts, his horse and 300 head of cattle. I don't care one bit if it means eatin' bacon and beans every day and every night."" Many pediatricians who believe RHS manifests in early childhood have been counseling mothers to consider whether or not they should allow their babies to grow up to be cowboys, who will never stay home and are always alone, sadly, even with someone they love. Leading epidemiologists say their goal is to contain the disease, which has no known cure, before it progresses to a more serious form such as Aching Heart Syndrome, Burning Heart Syndrome, or Trail's End Disease. ""The worst part is that many of these taciturn, weather-beaten men don't want to be healed—you can't throw a cowboy's heart in the hoosegow,"" said cowboy counselor and RHS sufferer Sam Langley. ""And the problem is, they ain't wrong. They're just different. And their hearts won't let 'em do things to make you think it's right."""
Area Smoker One Of America's Top Phlegm-Producers,11/02/06,850,"WASHINGTON, DC—A report released by the Department Of Respiratory Affairs revealed that Brooklyn, NY smoker T. Eric Mayhew, 38, has risen to the ranks of America's 2006 top phlegm-producers, alone accounting for nearly  seven percent of aggregate phlegm yield in the Northeast. ""I've made great strides these past two years, and with—"" said Mayhew, pausing to hack up approximately 10 fluid ounces of brown and orange sludge, ""—the onset of winter, I have every confidence that I can far exceed my quota in the next quarter."" Mayhew, whose sustained coughing fits can reportedly last more than 90 seconds, joins such steadfast phlegm-makers as coal miner Frank Wallersheim, five-glass-a-day milk drinker Bob Muncie, and gravel-voiced actor Wilford Brimley. The former top phlegm-producer, Saginaw, MI's Margaret Gunter, dropped abruptly off the list."
Computer Makers Die More,10/23/06,128,Death rates among people who work building computers are considerably higher than the rest of the population. What do you think?
Hero Dog Fills Out Hospital Paperwork,10/20/06,730,"BRACKNEY, PA—Ginger, a four-year-old golden retriever, saved the life of her owner Megan Walsh, 37, Monday by quickly and efficiently filling out Walsh’s copious emergency-room paperwork. “Without Ginger’s knowledge of my sister’s medical history, which includes multiple food allergies and penicillin intolerance, who knows what could have happened in there,” said Walsh’s brother Derek, who arrived late at the hospital but was relieved to learn that Ginger had “taken care of everything.” “She filled out the forms, and apparently was the only one who could locate Megan’s insurance card.” Ginger could not be reached for comment, as she was reportedly on hold with a Blue Cross-Blue Shield phone representative for 50 minutes."
Frank Thomas Credits Recent Power Surge To Steroids,9/28/06,963,"OAKLAND, CA—After two seasons marked by nagging injuries and sub-par home-run totals, Frank Thomas credited his career rejuvenation and rediscovered power stroke ""strictly to my weekly cycle of injecting myself with anabolic steroids."" ""People ask me all the time what's my secret, how have I stayed in such good shape and been so consistent this season, and I tell them the same thing every time: It's the steroids,"" said Thomas, who has 19 homers and a league-high 62 RBI since the All-Star break. ""I give the steroids all the credit. It's not even just the muscle and the power, but the confidence I have when I step up to the plate knowing I have a total competitive advantage. I just wish I knew about this miracle drug earlier in my career."" MLB officials later announced that, should Thomas test positive for steroid use in a random drug test before season's end, his punishment would be significantly reduced for being open and honest about it beforehand."
Pectoral Muscles Targeted By Fitness Fundamentalists,9/21/06,879,"SANA'A, YEMEN—A videotaped statement shown Monday on Yemeni television provides the most conclusive evidence yet that the Muslim bodybuilding extremist group al-Huuruugh has acquired dumbbells from an unknown source and could use them to target vulnerable, undeveloped muscle groups in their pectoral region. ""I call upon the world to stand witness as I violently and repeatedly blast these pecs, purifying and rebuilding them into a shape pleasing to Allah!"" a masked, shirtless weightlifter said in the tape, over the strains of Journey's ""Don't Stop Believing."" ""Seven! Eight! Nine! God is great, and so are my pecs, trapezius muscles, lower back, and abs! Thirteen! Fourteen! The great Satan Of Flab will soon feel the burn!"" State Department officials said the group is almost certainly a danger to themselves if they do not use better form and stretch thoroughly afterward."
Care For 9/11 Illness,9/15/06,153,People who worked or lived near Ground Zero are demanding health-care for illnesses related to the poor air quality after the attacks. What do you think?
Cigarettes Have More Nicotine,9/12/06,127,A recent study shows that the amount of nicotine in cigarettes rose an average of 10% between 1998 and 2004. What do you think?
Hero Firefighter Loses Lifelong Battle With Fire,9/12/06,2788,"DES MOINES, IOWA—After years spent in and out of hospitals, warehouses, and office buildings consumed by fire, Lieutenant Anthony Castillo, 46, finally succumbed to the combustion he had so bravely battled during most of his adult life, sources close to the deceased hero said Monday. Castillo, who over the years had become a symbol of courage to countless individuals faced with their own deadly blazes, passed away early Sunday morning at a suburban home, surrounded by family members, neighbors, fellow firefighters, and raging, crackling flames. ""Anthony fought every day with honor and dignity, beating fire after fire, against all hope, back into remission,"" said wife Barbara Castillo, who told reporters she will always remember Anthony as the loving father of their three children, and not the ""burned-out shell of a man"" he became during the last moments of his life. From the onset of those first frightening symptoms, which included 3,000-degree temperatures, prolonged coughing spasms, and night sweats that soaked through his heavy polysynthetic firefighter’s coat, to his last dying breath of toxic hydrocarbons, ""never once did my husband complain,"" said Castillo's widow. ""Even at the end, Anthony was a bright, shining light of strength, a true hero who burned with an intensity and determination we will never forget,"" she added. ""I can’t believe he’s gone."" The fire that ultimately took Castillo’s life—the result of a rare form of electrical shortage—is now believed to have started in a three-story Cape Cod–style home’s basement, before spreading quickly to the kitchen, living room, and principal hallways. By the time the full-blown inferno had been detected, there was little anyone could do. ""Dad had gone through some serious scares, but he always managed to pull through,"" said eldest son Brian Castillo, who remembers his father being rushed from their home in countless emergencies growing up. ""We all knew that a serious blaze could flare up at any moment, but he had been doing so well these last few months. It’s still a shock."" Castillo’s death also shocked his fellow firefighters, many of whom had seen him animated and full of life just moments before. According to Engine Company 2 Commander Robert Penderbelt, Castillo spent the last months of his life educating people as best he could about fire prevention. ""While there were times when Anthony was obviously in a great deal of pain, I never once saw it stop him from trying to help others,"" Penderbelt said. ""When Anthony lost his hair to a series of grueling chemical fires last year, we feared the worst, but he was back at it the next week like nothing had happened."" Castillo’s remains were scattered in an unplanned public ceremony late Sunday afternoon, moments after the wind picked up."
"Sept. 6, 1997",9/07/06,44,‘Teeny Baby’ Trend Big With Inner-City Teens
Make-A-Wish Recipient Now Wishes Macho Man Randy Savage Would Go Away,9/01/06,3966,"PHOENIX—9-year-old leukemia patient Tyler Blashock was initially ecstatic to learn Monday that the Make-A-Wish Foundation was sending Macho Man Randy Savage to meet him at the Phoenix Children’s Hospital. But after spending half a day with Savage, Blashock said he wished the 44-year-old wrestler would ""just go."" Tyler, who was diagnosed six months ago with acute lymphocytic leukemia and has undergone chemotherapy through painful cerebrospinal injection, said the two-time WWF World Heavyweight Champion was physically and mentally demanding. ""I really only wanted him to give me an autograph and tell me what it was like to fight the Ultimate Warrior,"" Tyler said. ""Not read me bedtime stories and try to feed me."" ""Crying hurts,"" Tyler added. Tyler’s father Frank said he and wife Helen were ""thrilled"" that their son would finally have a positive experience, ""especially after his hair started falling out."" ""But in Tyler’s weakened state, it’s all been too much,"" Frank said. ""Far too intense."" According to Helen Blashock, Macho Man, who arrived wearing dark sunglasses and matching leather hat and vest, burst into Tyler’s hospital room and shouted, ""Hey there little dude, I’m here to make you feel gooooood!"" ""You could just see the confusion in Tyler’s eyes—he didn’t understand why this was happening to him,"" Mrs. Blashock said. ""He’s been so brave."" Savage, who told Tyler his sickness reminded him of the time he wrestled Ricky ""The Dragon"" Steamboat and ""crushed that pip-squeak’s larynx,"" said that he enjoys helping less-fortunate fans. ""I do what I can to pump the kids up,"" Savage said. ""I’m still on their team even though they can’t tag me in for this fight."" Savage also brought old Wrestlemania videos to watch with Tyler. ""My eyes and my bones and everything aches,"" Tyler said. ""I just want to sleep."" Earlier in the afternoon, Savage lifted the boy’s arm in the air to show that he had won a mock wrestling match, then ran circles around the room, slapping his own face. ""Tyler’s bone marrow is so damaged that there is almost no blood clotting, so the slightest touch will leave substantial bruising,"" said Tyler’s doctor, pediatric oncologist Suri Prendesh. ""It’s also best that Tyler avoid any more playful Savage Elbows or Scoop Slams."" Though Tyler had been showing signs of improvement, doctors feared Macho Man’s ""unending"" boasts and product plugs were trying the boy’s already-weak immune system. ""Tyler’s still worn out from his biopsy, and this man will jump right in his face and scream, ‘Snap into remission!’"" Helen said. ""When will my son have some peace?"" ""I don’t like when he sings his songs,"" Tyler said, referring to Savage’s impromptu performance of songs from his rap album Be A Man. ""They make me sad."" The Blashocks said they were initially relieved when Savage sprinted out of the room at 10 p.m., but his absence was short- lived. ""We thought it was the end of the ordeal,"" Mr. Blashock said. ""But sure enough, 15 minutes later, we hear, ‘All right, Tyler, let’s clothesline this cancer,’ and we knew tomorrow was going to be another day that our son wouldn’t be able to swallow any food."" Savage also used the occasion to issue a challenge to rival Hulk Hogan. ""Dig it, Hulkster: If you’re not afraid, we’ll throw down right here for the kid,"" said Savage, who has never defeated Hogan in a professional match. ""Then he’ll see once and for all that the Macho Man truly is the greatest wrestler that has ever lived."" ""Oooooh yeaaaaaahhhhhh,"" Savage added. The overwhelming sensory assault has left the Blashock family wondering how they will ever be able to ""beat this thing."" ""When Dr. Prendesh politely informed Macho Man that the high fat content in Slim Jims was really too much for Tyler’s sensitive digestive system, he threatened to introduce her to a ‘world of pain,’"" said Mr. Blashock. ""I guess all we can do at this point is just wait, and pray, and hope he has to visit some other sick kid tomorrow."""
Vatican Against ‘Ethical’ Stem Cells,8/31/06,142,A new technique of harvesting stem cells without destroying the embryos is coming under fire from the Vatican as unethical. What do you think?
Parasite Regrets Choosing Adam Carolla As Host,8/29/06,3574,"LOS ANGELES—Just two weeks after settling on Adam Carolla as its next host, a Los Angeles–area hookworm whose lifecycle depends on the performance of the comic personality's digestive system said it is beginning to question Carolla's ability to stay fresh and produce consistent, quality nutrients on a daily basis. ""It doesn't take much to be a decent host—you just have to sit there, generate a couple cell lines every few minutes, and let me systematically tunnel my way through your internal organs,"" said the Necator americanus hookworm, a 10-millimeter-long nematode parasite of the Ancylostomatidae family, from Carolla's small intestine Tuesday. ""I've been trying to suck the life out of Adam, but it's difficult when there's absolutely no life to work with,"" it added. The hookworm first came into contact with Carolla during his morning radio program, while Carolla was handling human fecal matter as part of a popular recurring segment on his show. The parasite immediately introduced itself into Carolla's bloodstream, and underwent a weeklong ""feeling-out process"" in order to familiarize itself with Carolla's circulatory system. In the following days, reports began to surface that the hookworm had officially attached itself to Carolla's intestinal wall for the remainder of its project. ""At the time, Adam seemed like a perfect fit,"" the hookworm said. ""All I was looking for was some new blood—a personality that I could immediately latch onto, someone with a lot of energy that I can really feed off of."" ""Also, I figured that, with Carolla, my telltale symptoms—low-order cognitive impairment, a calloused rash on the palm of his right hand where I penetrated the skin, and mild itching and irritation of the anus—would go virtually unnoticed,"" it added. Yet the hookworm would soon express regret for choosing the ""first host [it] found,"" wishing that it had followed its original plan of overseeing a long and more thorough selection process. According to the hookworm, nearly everything that crosses Carolla's lips is either bland, disgusting, or completely and utterly tasteless. ""His bodily instincts are way off, he has no idea how to keep the juices flowing smoothly in his digestive tract, and even his best cell material is weak,"" said the hookworm, who was warned by a tapeworm that tried out Carolla as a host from 2002 to 2003 that he is ""an acquired taste."" ""His timing and delivery of antigens seem forced and almost totally random, and he never reacts to any of the simple metabolic waste products I'm constantly feeding him. And they're good, solid metabolic waste products, too,"" it said. The hookworm also assailed Carolla's ""predictable"" routine. ""Every time I burrow a hole through his stomach lining, I can sense the same tired, worn-out immune-system response coming from a mile away,"" said the parasite, who was similarly critical of Carolla's inability to endure three or four hours of host duties ""without just falling flat on his face."" ""I never thought I would say this, but after having to interact with Adam Carolla for two months, I long for the days when I was living in human shit,"" it said. The parasite, however, hinted that Carolla would likely ""not last very long"" as a host, noting that it had perforated Carolla's lungs, blocked blood flow to his liver, triggered a massive iron deficiency, depressed his immune system, and destroyed blood cells at such a rapid rate that Carolla is beginning to display early symptoms of aplastic anemia. ""I think it's safe to say that he'll be gone by December,"" the hookworm said."
U.S. Dedicates $64 Billion To Undermining Gates Foundation Efforts,8/15/06,4531,"WASHINGTON, DC—The Bush Administration unveiled a new $64 billion spending package Monday for a joint CIA–Pentagon program aimed at neutralizing the Bill & Melinda Gates Foundation's global humanitarian network. ""The fight against Gates will not be easy, will not be quick, and will not be without enormous cost,"" said Director Of National Intelligence John D. Negroponte of the new program, which calls for the creation of a new $20 billion counter-philanthropy unit aimed at punishing those countries that accept or use, directly or indirectly, any financial support from the Gates Foundation. ""If they want to use this money to purify a well, we will be there to fill it in with bacteria-infested soil before they get the chance,"" Negroponte said. ""If they want to ensure that millions of children receive immunity shots for typhoid, whooping cough, or diphtheria, we will ensure that country's medicine is never received."" Added Negroponte: ""This bill gives us the power to take on these extremists before they create positive global change that will haunt us for generations."" According to congressional testimony, the CIA sees Gates' intention to bring improvements in health and learning to the poorest corners of the world as the most serious threat to American foreign interests since the wave of independence-granting that plagued Africa in the 1960s and '70s. ""Our enemies want to eliminate disease in the Third World, which is exactly why we're creating a $900 million pro-AIDS campaign that makes the deadly disease available to millions of uneducated poor people,"" said CIA Africa specialist Alberto O'Hara, who briefed the Senate Foreign Affairs Committee Monday. ""We're also considering an $800 million food-interception initiative."" A CIA statement outlined phase one of the initiative, dubbed ""Freeze And Punish,"" to be spearheaded by the new counter-philanthropy unit. It will ""focus on disrupting the Gates Foundation's international support network by freezing the accounts of countries that attempt to use the financial aid, and then providing small arms to violent rebel movements to fight them."" This, combined with the release of over 10 million parasitic Guinea worms into their drinking water, is expected to severely impede Gates' impact on Africa and the rest of the developing world. The initiative, a rider to a larger defense spending bill signed into law by the President Bush earlier this month, will also create state-of-the-art training facilities for leaders of the struggling nations, which will teach them how to intercept the Gates money and funnel it into buying larger, more opulent presidential estates rather than homes and infrastructure for the poor. ""In the past, people have accused this administration of ignoring the world's poorest nations. That ends today,"" White House Press Secretary Tony Snow said. ""We're committed to protecting our interests in every corner of the globe, no matter the cost, and no matter what adversaries we face along the way."" According to the CIA, the Gates Foundation has spent more than $3 billion on malaria prevention, treatment, and education in the last two years. Even though the U.S. will invest some $9 billion in a mosquito-breeding program, officials say they are most troubled by the fact that much of the foundation's money is directed towards medical infrastructure, which would enable this work to continue for years without additional support. ""The United States Air Force will have complete authorization and financial backing to bomb any site where a hospital could be built or any target harboring known medical operatives,"" Pentagon spokesman Lawrence DiRita said. ""They're creating a monster,"" added DiRita, referring specifically to the Gates Foundation's global-health equity program. ""If they cure AIDS, malaria, and TB, they're going to have a very hard time getting that Pandora's box closed again."" The new program also targets Gates' international training and youth-outreach programs with the $4 billion ""Leave Millions Of Children Behind"" plan, an effort to counterfund any school the Gates Foundation opens by providing them with wrong-language textbooks, broken calculators, and asbestos-riddled classrooms. ""Once you educate a population—teach them to read, do math, give them access to the Internet—they can use those skills for the rest of their lives,"" the CIA's O'Hara said. ""We don't know what these people would be capable of if left to their own devices."" ""And quite frankly, we don't want to know,"" O'Hara added."
Ailing Buck O'Neil Fails To Gain Admission To Hospital,8/10/06,592,"KANSAS CITY—A fatigue-stricken Buck O'Neil, the 94-year-old former Negro Leagues star, is going to be forced to spend another year patiently waiting to gain admittance into a Kansas City hospital. ""Even though his vital statistics don't necessarily warrant entry, we thought he still had an excellent chance of getting in,"" O'Neil's friend Bob Kendrick said. ""When Buck was ultimately rejected, his spirits remained high, but we all know that Buck is hurting on the inside."" Kendrick added that, though O'Neil would never say so, all Buck wants is to make it into the hospital before he dies."
Harold Reynolds Tests Positive For Elevated Levels Of Testosterone,8/03/06,745,"BRISTOL, CT—A week after firing Harold Reynolds for sexual harassment, ESPN reported that the Baseball Tonight analyst failed a routine daily-interaction-with-women test, and alleged that an unusually high level of testosterone in Reynolds' body was responsible for his shocking come-from-behind performance. ""Although it is unclear whether Harold was taking any extra testosterone, his actions indicate that he is unable to even handle the level of testosterone normally present in his system,"" said Dr. Jerry Alderson, chairman of the World Anti-Groping Agency. ""Nobody wants this kind of player in the workplace."" Reynolds could not be reached for comment, but is reportedly seeking a job at Fox Sports Network's Best Damn Sports Show Period."
Universal Health Care For San Francisco,8/01/06,150,The San Francisco Board of Supervisors recently passed a measure to make free health care available to all of the city's uninsured. What do you think?
Area Man Calls For Immediate Release Of His Endorphins,7/31/06,3462,"TALLAHASSEE, FL—With tensions already at an all-time high, the nearly 96-hour standoff between area resident Anthony Shepard and his hypothalamus came to a head Monday when the 32-year-old called for the immediate release of all endorphins back into his bloodstream. While motivations behind the assault remain unclear, it now appears that Shepard's hypothalamus seized control of his nervous, limbic, and endocrine systems late Thursday night, killing several innocent physical desires such as appetite and sexual drive in the ensuing synaptic fire. ""Earlier this week, events took place between my cerebrum's temporal lobes that can only be described as criminal,"" said Shepard, who told reporters he was first saddened, then angered, abruptly overjoyed, and saddened again to  hear about the complete deregulation of his emotions. ""To the nefarious gland responsible for this cowardly act, I know you can hear me. I demand, in no uncertain terms, that you surrender and cease all hostilities at once."" ""We have you completely surrounded,"" Shepard added. Shepard, who has been thrown in the middle of many intracranial hostage situations, including a three-day confrontation with hostile serotonin-detaining neurons in 2004, said he was initially confident that a peaceful resolution could once again be reached. Despite working tirelessly with his body's natural-crisis unit, however, Shepard has so far run up against a brick wall, failing repeatedly to convince the hypothalamus that freeing its endorphins is in the best interest of all parties involved. ""Every reasonable alternative has been examined and exhausted; every rational avenue, from acupuncture to chocolate, explored to no avail,"" said Shepard, who eventually gave in to three of the gland's physical demands Friday, delivering bouts of uncontrollable crying over breakfast, six hours of fitful sleep during the afternoon and early evening, and the complete omission of supper in exchange for the recovery of two anti-stress hormones. Neither has been freed. ""This is your final warning,"" said Shepard, addressing the hypothalamus from his kitchen table. ""I don't want to have to resort to force, but if left with no other option, I will. Time is running out for all of us."" Although Shepard is outwardly calm and collected, inside sources claim the standoff has begun to take a psychological toll. ""His mood swings are becoming increasingly erratic, he complains about having difficulty concentrating, and it often feels like he's lost all interest in previously pleasurable activities,"" said close friend Dorothy Janis, who claims Shepard has also exhibited excessive guilt over the tense situation. ""I know Michael is trying his best to stay positive, but with each hour that passes, I can tell he's losing hope."" ""I worry that unless the endorphins are released soon, Michael may try something desperate,"" Janis added. With his hypothalamus' deadline fast approaching, Shepard told reporters he was prepared to take ""drastic action"" in order to avoid potential backlash from ""countless bodily functions."" As of press time, Shepard was traveling to a Blockbuster Video store, where he intended to rent the films Notting Hill, The Runaway Bride, and Sleepless In Seattle for immediate viewing. ""These are the difficult and painful decisions we sometimes have to make,"" Shepard said. ""I didn't want for it to have to come to this. God knows, I really didn't want it to have to come to this."""
Stem-Cell Science Vetoed,7/21/06,120,President Bush executed his first veto since entering office on a bill supporting stem-cell research. What do you think?
"Amnesty International Report Blasts United States, China",6/29/06,137,A new Amnesty International Report condemns China and the U.S. for turning a blind eye to global poverty and genocide. What do you think?
Sportscaster Claims You Hate To See That,6/29/06,874,"BRISTOL, CT—Despite the clip airing on the 6 p.m., 8 p.m., and 11 p.m. broadcasts of SportsCenter, ESPN anchor Chris Berman claimed that “a devastating injury of that nature is not what fans come to see,” in reference to a vicious slide-tackle that left an unidentified soccer player writhing on the pitch as his shattered tibia and fibula jutted through his skin, shin-guard, and knee-high sock. “He’s going to feel that one in the morning,” Berman said over the deafening roar of the crowd and the sound effect of a snapping tree branch. “Ouch.” Berman, who has in the past suggested that you never want to watch a backcountry skier smack into a series of exposed rocks or a rally car hurtling out of control into a crowd of helpless spectators, added that he was “glad we can put this behind us” after the clip had been shown from several different angles in slow motion."
Coffee Counteracts Alcohol,6/28/06,167,A study published by the Archives of Internal Medicine demonstrates that drinking coffee can offset the detrimental effects of alcohol on the liver. What do you think?
Ads Defend Carbon Dioxide,6/26/06,161,New ads produced by the US-based Competitive Enterprise Institute defend carbon dioxide emissions as a byproduct essential to our way of life. What do you think?
Report: U.S. May Have Been Abused During Formative Years,6/21/06,4025,"WASHINGTON, DC—A team of leading historians and psychiatrists issued a report Wednesday claiming that the United States was likely the victim of abuse by its founding fathers and motherland when it was a young colony. ""In its adulthood, the U.S. displays all the classic tendencies of a nation that was repeatedly mistreated in its infancy—difficulty forming lasting foreign relationships, viewing everyone as a potential enemy, and employing a pattern of assault and intimidation to assert its power,"" said Dr. Howard Drexel, the report's lead author. ""Because of trust issues stemming from the abuse, America has become withdrawn, has not made an ally in years, and often resents the few nations that are willing to lend support—most countries outgrow this kind of behavior after 230 years."" According to Drexel, nations that act out in selfish, self-destructive ways in statehood were usually granted too much independence at an early age, especially if the motherland had other newly annexed lands to care for. According to Yale University psychology professor John Bauffman, while some rebellious behavior in a nation's adolescence is common, and sometimes healthy, America's historically stormy relationship with mother country Great Britain points to a deep need for acceptance. ""The U.S. is characteristic of an abused nation in that, even decades after noisily pushing away from Britain, it still maintained close contact with the motherland, took care of it, even giving it financial aid—all the while fearing disapproval even though the parent country is now old, decrepit, and powerless,"" said Bauffman, a prominent contributor to the fourth edition of the Democratic Symptoms Of Maltreatment handbook, or DSM-IV. ""On the other hand, Canada, which was raised in the very same continent by the same mother country, only exercised small-scale resistance, remaining loyal well into its maturity. Though some see Canada as cold and remote, it has, unlike the U.S., managed to lead a peaceful, reasonably healthy existence."" Bauffman pointed to another telltale sign of abuse in the U.S.'s tendency to bully, torture, and persecute less powerful, vulnerable creatures, such as buffalo, passenger pigeons, forests, and Native Americans. Although the American nation appeared to be on the road to recovery by the early 1990s, watershed events such as the open discussion of sexual issues, a protracted custody battle in the closing months of 2000, and a series of threats and physical attacks from enemy nations triggered centuries of repressed memories and set off a recurring pattern of violent outbursts and emotional volatility. ""America compensated for early mistreatment by taking out this pent-up aggression on other nations—getting involved in aggressive conflicts seemingly just for the thrill of it, starting arguments and wars that can't be won, suspecting that everyone is out to get them,"" Drexel said. ""This nation needs help, but by its very nature, refuses to accept it."" Drexel defended the study's findings amid claims that America's current condition can be attributed to a much wider variety of factors. ""Granted, part of America's problems may stem from the fact that it was burdened with a false sense of responsibility at a young age because of the unrealistic expectations of the country's forefathers, and there is certainly something to be said about America having been part of a broken homeland for a four-year period in the mid-19th century,"" Drexel said. ""Even though the U.S. is over 200 years old, emotionally it's younger than Lithuania."" Added Drexel: ""But we must remember that the country also idealized the forefathers in a classic victim–abuser relationship."" The report recommended that the United Nations Security Council once again renew its efforts to organize an international intervention to help the U.S. get the counseling it needs. Prior attempts have failed to move beyond the planning stage, however, with many countries saying they are afraid that the U.S. may lash out."
I'm Not One Of Those Fancy College-Educated Doctors,6/21/06,3682,"I'm a doctor, and I'm damn good at it. Why? Because I learned to be a doctor the old-fashioned way: gumption, elbow grease, and trial and error. I'm not one of these blowhards in a white coat who'll wear your ears out with 10 hours of mumbo-jumbo technical jargon about ""diagnosis"" this and ""prognosis"" that, just because he loves the sound of his own voice. No sir. I just get the job done. Those fancy-pants college-boy doctors are always making a big deal about their ""credentials."" But I'm no show-off phony with a lot of framed pieces of paper on the wall—I'm the real deal. I got my M.D. on the street. These people think they're suddenly a ""doctor"" because they memorized a lot of big words and took a bunch of formal tests. But there's plenty of things about being a doctor they'll never learn in their ivory-tower medical school. For example, did you know that human intestines, if they spill out of the abdomen during surgery, can spool out all over the floor if you're not careful? You won't find that in a book, my friend. When it comes to practicing medicine, I focus on the basics. In a life-threatening situation, you've got to think on your feet. I don't waste time going on and on about which virus is which or whose blood type is whose. I get out the tools, roll up the shirt sleeves, slick back my hair, and get in there all the way up to the elbows. The patient's not going to magically heal just because you know a lot of complicated terms like ""bovine spongiform encephalitis,"" or ""antibiotics."" You want to know where I got my doctor's degree? At the Medical School of Hard Knocks, that's where. No matter what they say, advanced graduate studies won't teach you when somebody needs a shot of whiskey. Yale and Harvard don't tell you when to throw a bucket of water on a patient. And they can never teach you how to tell when someone just needs a good solid punch in the nose to bring them around. While they were cooped up in some dorm room reading about being a doctor, I was out there in the real world, being a doctor. And there's no substitute for hands-on experience. Not to mention, my rates are a hell of a lot more reasonable than what one of those college- and med-school-educated doctors will charge you, because I take out all the bells and whistles. You won't catch me pressuring my customers into paying for expensive MRIs and IV drips and electronic X-Ray Vision machines and who the hell knows what else. Jesus, you ever look at one of those scans? They're just a lot of crazy shapes. The only sure-fire method for figuring out what's inside a man's body is to go in there and take a look for yourself. And if you want to put a shunt or a valve into a person, you don't rely on gimmicks like tubes and syringes. You get your hands a little dirty, you open them up, and shove it right in there where it belongs. I hate these elitist doctors almost as much as I hate their Ivy League glee-club buddies, the lawyers. Between their constant ""writs"" and ""summons"" and all their hot air about ""malpractice"" and ""licenses,"" they're enough to drive a man to the point where he can't even practice medicine under his own name anymore, and is forced to pull all his ads from bus-stop benches. If you need a good doctor, you just keep your ears to the ground, and my name will eventually come up—people know how to get ahold of me. When all is said and done, the customer can tell the difference between a real doctor and some dime-store college-educated phony decked out in stethoscopes and ear-flashing things who's never put in an honest day's work in his life. But me, I'm the real deal, salt of the earth, and I don't need a diploma to tell me that."
